RLF_linear,SHAP_linear,BL_linear,anova_linear,all_linear,RLF_rf,SHAP_rf,BL_rf,anova_rf,all_rf,RLF_svr,SHAP_svr,BL_svr,anova_svr,all_svr,RLF_ann,SHAP_ann,BL_ann,anova_ann,all_ann,RLF_lgbm,SHAP_lgbm,BL_lgbm,anova_lgbm,all_lgbm,RLF_bl,SHAP_bl,BL_bl,anova_bl,all_bl,data,x*,x,y,budget,rows
 98.00, 100.00, 98.00, 100.00, 100.00, 99.00, 100.00, 99.00, 100.00, 100.00, 98.00, 99.00, 98.00, 99.00, 99.00, 98.00, 98.00, 98.00, 98.00, 98.00, 98.00, 99.00, 98.00, 99.00, 99.00,,,,,,SS-P,6,11,2,150,1024
 61.00, 36.00, 40.00, 36.00, 98.00, 59.00, 35.00, 59.00, 35.00, 95.00, 60.00, 60.00, 44.00, 60.00, 98.00, 63.00, 35.00, 56.00, 35.00, 99.00, 60.00, 59.00, 41.00, 59.00, 97.00,,,,,,SS-X,1,11,2,150,86059
 86.00, 87.00, 85.00, 87.00, 87.00, 85.00, 100.00, 99.00, 99.00, 100.00, 85.00, 85.00, 87.00, 86.00, 96.00, 87.00, 86.00, 86.00, 88.00, 88.00, 86.00, 99.00, 100.00, 99.00, 100.00,,,,,,SS-T,5,12,2,150,5185
 96.00, 63.00, 63.00, 63.00, 63.00, 94.00, 98.00, 98.00, 98.00, 97.00, 97.00, 79.00, 80.00, 80.00, 81.00, 96.00, 97.00, 96.00, 97.00, 97.00, 93.00, 97.00, 97.00, 97.00, 98.00,,,,,,SS-Q,7,13,3,150,2737
 95.00, 100.00, 100.00, 100.00, 100.00, 87.00, 100.00, 100.00, 100.00, 100.00, 96.00, 100.00, 100.00, 100.00, 100.00, 95.00, 99.00, 99.00, 99.00, 100.00, 95.00, 100.00, 100.00, 100.00, 100.00,,,,,,HSMGP_num,6,14,1,150,3457
 84.00, 83.00, 86.00, 87.00, 81.00, 82.00, 82.00, 82.00, 83.00, 85.00, 60.00, 83.00, 83.00, 83.00, 83.00, 82.00, 80.00, 81.00, 81.00, 81.00, 87.00, 81.00, 82.00, 82.00, 85.00,,,,,,SS-R,7,14,2,150,3009
 95.00, 96.00, 65.00, 64.00, 97.00, 93.00, 96.00, 63.00, 62.00, 99.00, 95.00, 96.00, 65.00, 65.00, 97.00, 95.00, 96.00, 65.00, 63.00, 96.00, 94.00, 95.00, 63.00, 57.00, 96.00,,,,,,SS-V,4,16,2,150,6841
 48.00, 48.00, 49.00, 48.00, 54.00, 70.00, 70.00, 57.00, 70.00, 66.00, 58.00, 58.00, 61.00, 58.00, 61.00, 50.00, 53.00, 49.00, 51.00, 55.00, 74.00, 74.00, 59.00, 74.00, 99.00,,,,,,SS-W,7,16,2,150,65537
 100.00, 100.00, 100.00, 99.00, 100.00, 100.00, 100.00, 100.00, 99.00, 100.00, 100.00, 100.00, 99.00, 100.00, 100.00, 100.00, 100.00, 100.00, 99.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00,,,,,,X264_AllMeasurements,6,16,1,150,1153
 99.00, 99.00, 99.00, 99.00, 99.00, 100.00, 99.00, 100.00, 99.00, 100.00, 100.00, 99.00, 100.00, 99.00, 99.00, 99.00, 99.00, 99.00, 99.00, 99.00, 100.00, 100.00, 100.00, 99.00, 100.00,,,,,,SS-M,7,17,3,150,865
 43.00, -9.00, -9.00, 56.00, -9.00, 81.00, 81.00, 81.00, 81.00, 81.00, 81.00, 50.00, 50.00, 81.00, 50.00, 31.00, 50.00, 57.00, 52.00, 55.00, 81.00, 81.00, 81.00, 81.00, 81.00,,,,,,SS-N,8,17,2,150,53663
 63.00, 63.00, 66.00, 63.00, 75.00, 56.00, 56.00, 39.00, 56.00, 56.00, 56.00, 60.00, 51.00, 61.00, 55.00, 59.00, 60.00, 54.00, 76.00, 76.00, 59.00, 62.00, 53.00, 52.00, 58.00,,,,,,coc1000,9,20,5,150,1001
 95.00, 96.00, 97.00, 93.00, 97.00, 96.00, 96.00, 96.00, 93.00, 100.00, 94.00, 96.00, 96.00, 92.00, 98.00, 96.00, 97.00, 96.00, 93.00, 96.00, 95.00, 96.00, 96.00, 93.00, 100.00,,,,,,SS-U,7,21,2,150,4609
 92.00, 93.00, 93.00, 93.00, 94.00, 96.00, 97.00, 93.00, 96.00, 97.00, 93.00, 93.00, 93.00, 93.00, 86.00, 91.00, 93.00, 91.00, 85.00, 93.00, 98.00, 98.00, 93.00, 98.00, 98.00,,,,,,xomo_flight,7,27,4,150,10001
 96.00, 96.00, 90.00, 96.00, 96.00, 94.00, 94.00, 90.00, 92.00, 90.00, 90.00, 90.00, 92.00, 89.00, 88.00, 86.00, 90.00, 79.00, 79.00, 87.00, 92.00, 92.00, 90.00, 90.00, 92.00,,,,,,xomo_ground,7,27,4,150,10001
 90.00, 90.00, 94.00, 93.00, 92.00, 98.00, 98.00, 98.00, 98.00, 98.00, 95.00, 95.00, 91.00, 92.00, 91.00, 93.00, 90.00, 90.00, 94.00, 90.00, 94.00, 95.00, 95.00, 95.00, 95.00,,,,,,xomo_osp,7,27,4,150,10001
 88.00, 91.00, 88.00, 88.00, 92.00, 86.00, 86.00, 84.00, 79.00, 89.00, 83.00, 84.00, 81.00, 86.00, 86.00, 73.00, 77.00, 76.00, 80.00, 87.00, 87.00, 88.00, 82.00, 82.00, 88.00,,,,,,xomo_osp2,8,27,4,150,10001
